detector+descriptor,kp,matched_kp,time,
SHITOMASI + BRISK,1179,767,3550.13,
SHITOMASI + BRIEF,1179,944,273.046,
SHITOMASI + ORB,1179,908,284.701,
SHITOMASI + FREAK,1179,768,619.788,
HARRIS + BRISK,248,142,3491.82,
HARRIS + BRIEF,248,173,230.946,
HARRIS + ORB,248,162,234.907,
HARRIS + FREAK,248,144,618.761,
FAST + BRISK,1491,899,3382.64,
FAST + BRIEF,1491,1099,103.013,
FAST + ORB,1491,1071,104.655,
FAST + FREAK,1491,878,500.542,
BRISK + BRISK,2762,1471,7075.18,
BRISK + BRIEF,2762,1704,3769.3,
BRISK + ORB,2762,1675,3772.63,
BRISK + FREAK,2762,1460,4174.98,
ORB + BRISK,1161,553,3462.64,
ORB + BRIEF,1161,545,167.066,
ORB + ORB,1161,562,169.814,
ORB + FREAK,1161,512,556.296,
AKAZE + BRISK,1670,1193,4436.16,
AKAZE + BRIEF,1670,1266,1186.26,
AKAZE + ORB,1670,1260,1192.87,
AKAZE + FREAK,1670,1179,1565.17,
SIFT + BRISK,1386,563,4979.15,
SIFT + BRIEF,1386,702,1744.97,
SIFT + ORB,1386,681,1744.03,
SIFT + FREAK,1386,589,2149.58,
