detector+descriptor,kp,matched_kp,time,
SHITOMASI + BRISK,1179,694,3551.62,
SHITOMASI + BRIEF,1179,819,276.96,
SHITOMASI + ORB,1179,770,286.05,
SHITOMASI + FREAK,1179,574,621.747,
SHITOMASI + SIFT,1179,0,388.216,
HARRIS + BRISK,248,121,3508.8,
HARRIS + BRIEF,248,141,239.874,
HARRIS + ORB,248,145,247.18,
HARRIS + FREAK,248,123,627.723,
HARRIS + SIFT,248,0,398.473,
FAST + BRISK,1491,781,3377.43,
FAST + BRIEF,1491,889,110.605,
FAST + ORB,1491,869,112.762,
FAST + FREAK,1491,671,508.847,
FAST + SIFT,1491,0,268.357,
BRISK + BRISK,2762,1233,7081.01,
BRISK + BRIEF,2762,1382,3799.58,
BRISK + ORB,2762,1322,3809.19,
BRISK + FREAK,2762,998,4186.87,
BRISK + SIFT,2762,0,3964.39,
ORB + BRISK,1161,421,3441.21,
ORB + BRIEF,1161,455,182.563,
ORB + ORB,1161,467,183.939,
ORB + FREAK,1161,341,571.629,
ORB + SIFT,1161,0,329.901,
AKAZE + BRISK,1670,1072,4446.19,
AKAZE + BRIEF,1670,1087,1198.35,
AKAZE + ORB,1670,1075,1193.92,
AKAZE + FREAK,1670,928,1583.09,
AKAZE + SIFT,1670,0,1328.22,
SIFT + BRISK,1386,513,4813.58,
SIFT + BRIEF,1386,604,1800.22,
SIFT + ORB,1386,556,1805.14,
SIFT + FREAK,1386,507,2192.3,
SIFT + SIFT,1386,0,1956.39,
