detector+descriptor;ttcLidar;ttcCamera;time;
SHITOMASI + BRISK;12,2891;15,9557;2252,59;
SHITOMASI + BRISK;13,3547;12,6612;4550,27;
SHITOMASI + BRISK;16,3845;14,0677;6634,79;
SHITOMASI + BRISK;14,0764;13,8607;8955,47;
SHITOMASI + BRISK;12,7299;12,4856;11057,2;
SHITOMASI + BRISK;13,7511;11,8517;13137,9;
SHITOMASI + BRISK;13,7314;12,8653;15220;
SHITOMASI + BRISK;13,7901;13,9179;17312,9;
SHITOMASI + BRISK;12,059;11,869;19404,6;
SHITOMASI + BRISK;11,8642;62,2001;21489;
SHITOMASI + BRISK;11,9682;12,3866;23585,9;
SHITOMASI + BRISK;9,88711;11,4169;25688,1;
SHITOMASI + BRISK;9,42504;11,191;27764,9;
SHITOMASI + BRISK;9,30215;11,6524;29855,5;
SHITOMASI + BRISK;8,3212;10,2624;31955;
SHITOMASI + BRISK;8,89867;11,3227;34056;
SHITOMASI + BRISK;11,0301;9,68611;36173,6;
SHITOMASI + BRISK;8,53557;9,2219;38261,9;
SHITOMASI + BRIEF;12,2891;14,3471;1718,15;
SHITOMASI + BRIEF;13,3547;14,1084;3428,14;
SHITOMASI + BRIEF;16,3845;10,0528;5126,86;
SHITOMASI + BRIEF;14,0764;15,1609;6838,42;
SHITOMASI + BRIEF;12,7299;12,4421;8556,38;
SHITOMASI + BRIEF;13,7511;13,5266;10302,6;
SHITOMASI + BRIEF;13,7314;15,1295;12049,3;
SHITOMASI + BRIEF;13,7901;12,0133;13775,2;
SHITOMASI + BRIEF;12,059;11,9031;15515,3;
SHITOMASI + BRIEF;11,8642;12,5054;17224,3;
SHITOMASI + BRIEF;11,9682;11,5611;18923;
SHITOMASI + BRIEF;9,88711;11,54;20661,5;
SHITOMASI + BRIEF;9,42504;11,4726;22427,5;
SHITOMASI + BRIEF;9,30215;11,0036;24169,5;
SHITOMASI + BRIEF;8,3212;12,2171;25896,9;
SHITOMASI + BRIEF;8,89867;8,63031;27657,6;
SHITOMASI + BRIEF;11,0301;11,1382;29384,8;
SHITOMASI + BRIEF;8,53557;8,33631;31149,7;
SHITOMASI + ORB;12,2891;13,813;1716,25;
SHITOMASI + ORB;13,3547;11,1409;3453,71;
SHITOMASI + ORB;16,3845;12,095;5176,86;
SHITOMASI + ORB;14,0764;13,0791;6967,35;
SHITOMASI + ORB;12,7299;11,7226;8715,93;
SHITOMASI + ORB;13,7511;13,5361;10476,4;
SHITOMASI + ORB;13,7314;12,8408;12238,4;
SHITOMASI + ORB;13,7901;11,7887;14005,5;
SHITOMASI + ORB;12,059;11,1095;15754,5;
SHITOMASI + ORB;11,8642;13,9356;17536,2;
SHITOMASI + ORB;11,9682;11,201;19304,7;
SHITOMASI + ORB;9,88711;11,3313;21065;
SHITOMASI + ORB;9,42504;11,3895;22817,2;
SHITOMASI + ORB;9,30215;11,1866;24578,1;
SHITOMASI + ORB;8,3212;10,5507;26344;
SHITOMASI + ORB;8,89867;9,63153;28159,8;
SHITOMASI + ORB;11,0301;9,79746;29956,7;
SHITOMASI + ORB;8,53557;8,03768;31749,5;
SHITOMASI + FREAK;12,2891;15,3103;1828,6;
SHITOMASI + FREAK;13,3547;12,6506;3670,31;
SHITOMASI + FREAK;16,3845;10,4943;5523,79;
SHITOMASI + FREAK;14,0764;14,7522;7370,91;
SHITOMASI + FREAK;12,7299;12,8167;9224,56;
SHITOMASI + FREAK;13,7511;15,1537;11086,4;
SHITOMASI + FREAK;13,7314;12,1823;12924;
SHITOMASI + FREAK;13,7901;12,8515;14767,8;
SHITOMASI + FREAK;12,059;11,1883;16617;
SHITOMASI + FREAK;11,8642;13,403;18459,2;
SHITOMASI + FREAK;11,9682;11,2889;20305,8;
SHITOMASI + FREAK;9,88711;12,5923;22287,7;
SHITOMASI + FREAK;9,42504;11,6697;24243,5;
SHITOMASI + FREAK;9,30215;11,7034;26127;
SHITOMASI + FREAK;8,3212;11,8226;27992,1;
SHITOMASI + FREAK;8,89867;10,7624;29885,7;
SHITOMASI + FREAK;11,0301;10,1665;31763,3;
SHITOMASI + FREAK;8,53557;9,74287;33661,6;
HARRIS + BRISK;12,2891;10,9082;2100,58;
HARRIS + BRISK;13,3547;11,0081;4201,28;
HARRIS + BRISK;16,3845;-11,4731;6317,01;
HARRIS + BRISK;14,0764;11,3951;8402,92;
HARRIS + BRISK;12,7299;44,9166;10508,7;
HARRIS + BRISK;13,7511;14,7045;12609,3;
HARRIS + BRISK;13,7314;14,2744;14725,6;
HARRIS + BRISK;13,7901;13,5704;16843,2;
HARRIS + BRISK;12,059;0,136149;18951,7;
HARRIS + BRISK;11,8642;-153,93;21077;
HARRIS + BRISK;11,9682;11,7414;23231,5;
HARRIS + BRISK;9,88711;10,1812;25350,5;
HARRIS + BRISK;9,42504;284,161;27550,3;
HARRIS + BRISK;9,30215;9,05415;29683,2;
HARRIS + BRISK;8,3212;-12,639;31819,5;
HARRIS + BRISK;8,89867;8,81465;34010,4;
HARRIS + BRISK;11,0301;11,1009;36135,4;
HARRIS + BRISK;8,53557;0,687055;38263,5;
HARRIS + BRIEF;12,2891;10,9082;1773,84;
HARRIS + BRIEF;13,3547;63,8475;3568,49;
HARRIS + BRIEF;16,3845;-11,4731;5362,38;
HARRIS + BRIEF;14,0764;11,5792;7162,16;
HARRIS + BRIEF;12,7299;44,9166;8962,09;
HARRIS + BRIEF;13,7511;15,2483;10777,8;
HARRIS + BRIEF;13,7314;15,8978;12579,3;
HARRIS + BRIEF;13,7901;13,5704;14399,7;
HARRIS + BRIEF;12,059;3,30058;16227,3;
HARRIS + BRIEF;11,8642;20,5862;18029,5;
HARRIS + BRIEF;11,9682;11,0967;19848,1;
HARRIS + BRIEF;9,88711;11,6948;21667;
HARRIS + BRIEF;9,42504;10,7828;23485,5;
HARRIS + BRIEF;9,30215;9,05415;25295,6;
HARRIS + BRIEF;8,3212;-inf;27120,5;
HARRIS + BRIEF;8,89867;6,7641;28934;
HARRIS + BRIEF;11,0301;12,6612;30757;
HARRIS + BRIEF;8,53557;4,72579;32566,3;
HARRIS + ORB;12,2891;10,9082;1821,09;
HARRIS + ORB;13,3547;63,8475;3620,65;
HARRIS + ORB;16,3845;-11,4731;5426,27;
HARRIS + ORB;14,0764;11,5792;7242,57;
HARRIS + ORB;12,7299;37,3809;9049,41;
HARRIS + ORB;13,7511;13,9039;10886,6;
HARRIS + ORB;13,7314;13,712;12736,8;
HARRIS + ORB;13,7901;34,6662;14566,6;
HARRIS + ORB;12,059;2,85939;16391,4;
HARRIS + ORB;11,8642;20,5862;18236,2;
HARRIS + ORB;11,9682;11,4377;20052,2;
HARRIS + ORB;9,88711;10,1812;21935,6;
HARRIS + ORB;9,42504;568,322;23771,8;
HARRIS + ORB;9,30215;5,85828;25641,4;
HARRIS + ORB;8,3212;-inf;27482,1;
HARRIS + ORB;8,89867;6,52962;29327,9;
HARRIS + ORB;11,0301;12,5848;31169,2;
HARRIS + ORB;8,53557;-inf;33009,2;
HARRIS + FREAK;12,2891;9,74953;1951,47;
HARRIS + FREAK;13,3547;-0,519552;3839,18;
HARRIS + FREAK;16,3845;-80,8525;5736,84;
HARRIS + FREAK;14,0764;12,1284;7703;
HARRIS + FREAK;12,7299;-96,0851;9614,48;
HARRIS + FREAK;13,7511;15,8156;11590,7;
HARRIS + FREAK;13,7314;13,1905;13577;
HARRIS + FREAK;13,7901;-inf;15469,8;
HARRIS + FREAK;12,059;0,137835;17397,1;
HARRIS + FREAK;11,8642;10,2931;19286,9;
HARRIS + FREAK;11,9682;10,4806;21204,6;
HARRIS + FREAK;9,88711;11,6948;23086,5;
HARRIS + FREAK;9,42504;13,4327;24980,1;
HARRIS + FREAK;9,30215;9,05415;26862,9;
HARRIS + FREAK;8,3212;-inf;28750,3;
HARRIS + FREAK;8,89867;11,7931;30664;
HARRIS + FREAK;11,0301;11,1009;32557,5;
HARRIS + FREAK;8,53557;12,8381;34449,6;
FAST + BRISK;12,2891;13,1487;2419,65;
FAST + BRISK;13,3547;11,3831;4818;
FAST + BRISK;16,3845;17,1803;7211,47;
FAST + BRISK;14,0764;13,2361;9610,25;
FAST + BRISK;12,7299;20,8371;12020,3;
FAST + BRISK;13,7511;11,7787;14421,5;
FAST + BRISK;13,7314;16,1057;16849,5;
FAST + BRISK;13,7901;12,2286;19234,7;
FAST + BRISK;12,059;14,6505;21627,3;
FAST + BRISK;11,8642;13,3065;24018,5;
FAST + BRISK;11,9682;14,304;26442,8;
FAST + BRISK;9,88711;11,1081;28854,5;
FAST + BRISK;9,42504;12,6136;31255,4;
FAST + BRISK;9,30215;12,3278;33681,5;
FAST + BRISK;8,3212;12,0853;36102,2;
FAST + BRISK;8,89867;11,7451;38537,1;
FAST + BRISK;11,0301;9,64277;40956,3;
FAST + BRISK;8,53557;12,6011;43417,9;
FAST + BRIEF;12,2891;11,1869;2000,9;
FAST + BRIEF;13,3547;11,1951;3999,13;
FAST + BRIEF;16,3845;26,9426;5996,25;
FAST + BRIEF;14,0764;12,2019;7958,91;
FAST + BRIEF;12,7299;29,218;9940,32;
FAST + BRIEF;13,7511;12,7186;11914,3;
FAST + BRIEF;13,7314;13,6593;13913;
FAST + BRIEF;13,7901;12,8595;15884,2;
FAST + BRIEF;12,059;12,0205;17874,6;
FAST + BRIEF;11,8642;13,3376;19847,2;
FAST + BRIEF;11,9682;11,6524;21833,7;
FAST + BRIEF;9,88711;11,2759;23840,1;
FAST + BRIEF;9,42504;11,8075;25883,5;
FAST + BRIEF;9,30215;10,7136;27865,5;
FAST + BRIEF;8,3212;10,6851;29840,3;
FAST + BRIEF;8,89867;11,4301;31828,4;
FAST + BRIEF;11,0301;8,61022;33832,1;
FAST + BRIEF;8,53557;11,2304;35839,2;
FAST + ORB;12,2891;11,3083;1959,8;
FAST + ORB;13,3547;10,1124;3959,67;
FAST + ORB;16,3845;12,9253;5941,2;
FAST + ORB;14,0764;11,6909;7983,21;
FAST + ORB;12,7299;15,5787;9950,63;
FAST + ORB;13,7511;12,5392;11931,1;
FAST + ORB;13,7314;12,9347;13925,6;
FAST + ORB;13,7901;10,7618;15897,8;
FAST + ORB;12,059;11,5827;17879,9;
FAST + ORB;11,8642;12,2108;19845,6;
FAST + ORB;11,9682;12,0184;21816;
FAST + ORB;9,88711;10,6789;23797,1;
FAST + ORB;9,42504;11,6293;25772,9;
FAST + ORB;9,30215;10,2079;27747,7;
FAST + ORB;8,3212;10,6964;29722;
FAST + ORB;8,89867;11,0009;31703,8;
FAST + ORB;11,0301;8,26236;33687,5;
FAST + ORB;8,53557;11,9028;35682,2;
FAST + FREAK;12,2891;13,5506;2053,52;
FAST + FREAK;13,3547;12,6506;4117,6;
FAST + FREAK;16,3845;25,3398;6183,83;
FAST + FREAK;14,0764;14,2442;8297,32;
FAST + FREAK;12,7299;13,2483;10327,6;
FAST + FREAK;13,7511;13,4545;12368,2;
FAST + FREAK;13,7314;13,9723;14393;
FAST + FREAK;13,7901;13,0148;16426,1;
FAST + FREAK;12,059;13,7356;18468,4;
FAST + FREAK;11,8642;13,5821;20605,1;
FAST + FREAK;11,9682;12,7284;22715;
FAST + FREAK;9,88711;11,3158;24807,3;
FAST + FREAK;9,42504;12,5222;26894,4;
FAST + FREAK;9,30215;11,3528;28988,2;
FAST + FREAK;8,3212;10,0137;31070,7;
FAST + FREAK;8,89867;12,1869;33133,6;
FAST + FREAK;11,0301;9,41431;35199,1;
FAST + FREAK;8,53557;12,3793;37270,7;
BRISK + BRISK;12,2891;14,2239;2828,17;
BRISK + BRISK;13,3547;15,4247;5703,46;
BRISK + BRISK;16,3845;12,7803;8550,77;
BRISK + BRISK;14,0764;15,2696;11397,7;
BRISK + BRISK;12,7299;25,2287;14221,5;
BRISK + BRISK;13,7511;16,127;17061,9;
BRISK + BRISK;13,7314;18,1808;19904,5;
BRISK + BRISK;13,7901;16,8971;22748,4;
BRISK + BRISK;12,059;14,3407;25601,5;
BRISK + BRISK;11,8642;14,1114;28469,4;
BRISK + BRISK;11,9682;13,2962;31313,6;
BRISK + BRISK;9,88711;11,6884;34202,4;
BRISK + BRISK;9,42504;12,9372;37053,4;
BRISK + BRISK;9,30215;11,8114;39895,3;
BRISK + BRISK;8,3212;12,6832;42775,1;
BRISK + BRISK;8,89867;10,2057;45679,5;
BRISK + BRISK;11,0301;9,33644;48566,5;
BRISK + BRISK;8,53557;10,4499;51446;
BRISK + BRIEF;12,2891;13,9459;2435,01;
BRISK + BRIEF;13,3547;18,1717;4887,83;
BRISK + BRIEF;16,3845;12,6646;7350,73;
BRISK + BRIEF;14,0764;20,9886;9806,53;
BRISK + BRIEF;12,7299;27,8542;12253,7;
BRISK + BRIEF;13,7511;19,4793;14706,7;
BRISK + BRIEF;13,7314;18,011;17160,4;
BRISK + BRIEF;13,7901;18,2172;19597,5;
BRISK + BRIEF;12,059;15,1317;22059,5;
BRISK + BRIEF;11,8642;12,2593;24533,6;
BRISK + BRIEF;11,9682;11,9165;26997,4;
BRISK + BRIEF;9,88711;14,6699;29455,4;
BRISK + BRIEF;9,42504;12,9083;31903,3;
BRISK + BRIEF;9,30215;10,4185;34362,6;
BRISK + BRIEF;8,3212;11,3404;36829,9;
BRISK + BRIEF;8,89867;12,4111;39294,2;
BRISK + BRIEF;11,0301;10,933;41779,3;
BRISK + BRIEF;8,53557;9,44699;44269,7;
BRISK + ORB;12,2891;13,7651;2425,05;
BRISK + ORB;13,3547;16,5957;4857,76;
BRISK + ORB;16,3845;13,4775;7303,57;
BRISK + ORB;14,0764;16,9096;9723,41;
BRISK + ORB;12,7299;22,6215;12168,6;
BRISK + ORB;13,7511;16,5951;14594,5;
BRISK + ORB;13,7314;19,0803;17038,3;
BRISK + ORB;13,7901;14,6472;19485,2;
BRISK + ORB;12,059;12,2746;21922,1;
BRISK + ORB;11,8642;12,587;24359,8;
BRISK + ORB;11,9682;13,7426;26814,2;
BRISK + ORB;9,88711;11,0038;29273;
BRISK + ORB;9,42504;11,7249;31722,1;
BRISK + ORB;9,30215;11,3789;34166,5;
BRISK + ORB;8,3212;12,1842;36653,2;
BRISK + ORB;8,89867;10,6858;39107,4;
BRISK + ORB;11,0301;9,77189;41566,4;
BRISK + ORB;8,53557;10,6755;44021,8;
BRISK + FREAK;12,2891;14,993;2456,38;
BRISK + FREAK;13,3547;24,5862;4934,65;
BRISK + FREAK;16,3845;15,0569;7401,03;
BRISK + FREAK;14,0764;13,9445;9843,22;
BRISK + FREAK;12,7299;25,2613;12305,6;
